Product_ID,Category,Store_Name,Customer_Name,Sales_Volume,Stock_Level,Demand_Forecast,Sentiment_Score,Seasonal,Last_Restock_Date,Manufacturer_ID,Product_Suggestion,Predictive_Alert,User_Bought_Products,Latitude,Longitude
Mens_T_Shirt,Home Essentials,Store_C,Customer_34,73,29,20,0.64,Yes,27-09-2024,Manufacturer_2,Pet_Shampoo,False,"['Fresh_Milk', 'Chicken_Breast', 'Microwave_Oven', 'Cookware_Set', 'Sunscreen']",41.8781,-87.6298
Salt,Groceries,Store_D,Customer_42,399,146,53,0.83,Yes,31-08-2024,Manufacturer_7,Bedding_Set,False,"['Washing_Machine', 'Pet_Shampoo', 'Digital_Camera']",29.7604,-95.3698
Treats,Groceries,Store_S,Customer_53,352,132,263,0.23,Yes,22-09-2024,Manufacturer_18,Treats,False,"['Chicken_Breast', 'Organic_Banana', 'Bedding_Set', 'Fitness_Tracker']",32.7767,-96.797
Blood_Pressure_Monitor,Home Essentials,Store_H,Customer_6,154,45,153,-0.02,Yes,09-10-2024,Manufacturer_10,Sneakers,False,"['Mobile_Phone', 'Olive_Oil', 'Scarf', 'Weight_Scale', 'Pet_Carrier']",32.7157,-117.1611
Cookware_Set,Groceries,Store_P,Customer_76,179,167,83,-0.58,Yes,10-10-2024,Manufacturer_10,Shampoo,False,"['Dining_Set', 'Laptop', 'Sugar', 'Whole_Wheat_Bread', 'Gaming_Console']",35.2271,-80.8431
Laptop,Groceries,Store_E,Customer_34,361,36,264,-0.43,No,18-10-2024,Manufacturer_12,Health_Bar,False,"['Mens_T_Shirt', 'Air_Purifier', 'Dog_Food', 'Yoga_Mat']",33.4484,-112.074
Conditioner,Electronics,Store_L,Customer_42,432,103,35,0.52,No,01-10-2024,Manufacturer_3,Pet_Shampoo,False,"['Vacuum_Cleaner', 'LED_TV', 'Face_Cream']",25.7617,-80.1918
Jacket,Groceries,Store_N,Customer_48,193,86,188,-0.79,No,21-09-2024,Manufacturer_13,Fresh_Milk,False,['Cookware_Set'],38.9072,-77.0369
Protein_Shake,Groceries,Store_K,Customer_90,26,193,290,0.8,Yes,05-10-2024,Manufacturer_7,Bluetooth_Speaker,False,['Sunglasses'],42.3601,-71.0589
Sneakers,Fashion,Store_P,Customer_35,415,7,282,-0.3,No,21-09-2024,Manufacturer_11,Pet_Shampoo,True,"['Washing_Machine', 'Handbag', 'Conditioner', 'Chicken_Breast']",35.2271,-80.8431
Conditioner,Personal Care,Store_P,Customer_44,250,57,26,-0.58,Yes,05-09-2024,Manufacturer_6,Weight_Scale,True,"['Face_Wash', 'Body_Lotion', 'Face_Cream', 'Fitness_Tracker', 'Perfume']",35.2271,-80.8431
Organic_Banana,Health,Store_A,Customer_38,439,174,99,-0.34,No,05-09-2024,Manufacturer_11,Vitamins,False,"['Grooming_Kit', 'Grooming_Kit']",40.7128,-74.006
Pasta,Fashion,Store_M,Customer_97,495,159,182,0.99,Yes,18-10-2024,Manufacturer_8,Chicken_Breast,False,"['Sports_Bottle', 'Rice']",36.1699,-115.1398
Blood_Pressure_Monitor,Pet Supplies,Store_I,Customer_79,334,8,286,-0.18,No,13-09-2024,Manufacturer_9,Power_Bank,False,"['Smart_Watch', 'Scarf', 'Air_Purifier', 'Wireless_Headphones', 'Fresh_Milk']",37.7749,-122.4194
Fridge,Fashion,Store_N,Customer_43,375,28,16,-0.29,No,17-10-2024,Manufacturer_20,Pet_Shampoo,False,"['Jacket', 'Vacuum_Cleaner']",38.9072,-77.0369
Dog_Food,Electronics,Store_C,Customer_34,56,23,86,-0.7,Yes,02-10-2024,Manufacturer_15,Cat_Food,True,"['Soap', 'Vacuum_Cleaner', 'Fresh_Milk']",41.8781,-87.6298
USB_C_Charger,Personal Care,Store_O,Customer_14,369,200,20,0.5,Yes,08-09-2024,Manufacturer_2,Gaming_Console,True,"['Face_Wash', 'Mens_T_Shirt']",44.9778,-93.265
Perfume,Groceries,Store_C,Customer_82,405,131,184,-0.02,No,05-10-2024,Manufacturer_10,Perfume,True,"['LED_TV', 'Laptop', 'Deodorant', 'Microwave_Oven', 'Eggs']",41.8781,-87.6298
Eggs,Health,Store_H,Customer_68,101,8,277,0.42,Yes,12-10-2024,Manufacturer_19,Eggs,False,"['Iron', 'Sunscreen']",32.7157,-117.1611
Mens_T_Shirt,Home Essentials,Store_P,Customer_76,115,156,191,-0.36,Yes,15-10-2024,Manufacturer_11,Bedding_Set,False,['Dining_Set'],35.2271,-80.8431
Pain_Relief_Tablets,Fashion,Store_T,Customer_100,456,19,74,-0.79,No,11-09-2024,Manufacturer_8,First_Aid_Kit,False,"['Womens_Dress', 'Smart_Watch', 'Digital_Camera', 'Smart_Watch', 'Rice']",47.6062,-122.3321
Face_Wash,Electronics,Store_B,Customer_10,42,131,193,-0.78,Yes,26-08-2024,Manufacturer_17,Laptop,True,"['Face_Wash', 'Mobile_Phone', 'Chicken_Breast', 'Perfume', 'Womens_Sandals']",34.0522,-118.2437
Washing_Machine,Personal Care,Store_F,Customer_12,249,52,294,-0.37,No,06-09-2024,Manufacturer_10,Soap,True,"['Leash', 'Pet_Toys']",39.7392,-104.9903
Protein_Shake,Fashion,Store_G,Customer_61,395,73,134,-0.22,No,16-10-2024,Manufacturer_14,Fresh_Milk,False,"['Blood_Pressure_Monitor', 'Kitchen_Blender', 'Health_Bar', 'Deodorant', 'Rice']",47.6062,-122.3321
Cat_Food,Fashion,Store_O,Customer_33,244,43,111,-0.51,Yes,22-09-2024,Manufacturer_2,Leash,True,"['Pain_Relief_Tablets', 'Power_Bank', 'Sugar', 'Cat_Food']",44.9778,-93.265
Bluetooth_Speaker,Personal Care,Store_B,Customer_77,379,133,237,-0.6,Yes,07-09-2024,Manufacturer_17,Bedding_Set,True,"['USB_C_Charger', 'Jeans']",34.0522,-118.2437
Soap,Personal Care,Store_S,Customer_36,144,149,212,-0.11,No,15-09-2024,Manufacturer_20,Dog_Food,True,"['Dog_Food', 'Mens_T_Shirt', 'Shampoo', 'Face_Cream', 'Womens_Dress']",32.7767,-96.797
Kitchen_Blender,Electronics,Store_Q,Customer_82,209,30,62,0.68,Yes,17-10-2024,Manufacturer_9,Grooming_Kit,False,"['Olive_Oil', 'Gaming_Console', 'Laptop']",39.9526,-75.1652
Fresh_Milk,Health,Store_D,Customer_51,64,9,225,-0.58,No,06-10-2024,Manufacturer_18,Chicken_Breast,False,"['Weight_Scale', 'Sneakers', 'Pet_Collar']",29.7604,-95.3698
Handbag,Personal Care,Store_C,Customer_56,368,130,265,0.46,Yes,05-09-2024,Manufacturer_13,Deodorant,True,"['Bluetooth_Speaker', 'Washing_Machine', 'Pet_Toys', 'Treats', 'USB_C_Charger']",41.8781,-87.6298
Sunscreen,Groceries,Store_R,Customer_73,405,183,293,-0.85,No,18-10-2024,Manufacturer_4,Pet_Collar,True,['Chicken_Breast'],45.5122,-122.6587
Bluetooth_Speaker,Personal Care,Store_L,Customer_48,152,161,64,0.2,No,12-09-2024,Manufacturer_20,Handbag,True,['Grooming_Kit'],25.7617,-80.1918
Pet_Carrier,Pet Supplies,Store_J,Customer_76,287,186,179,0.44,No,15-09-2024,Manufacturer_3,Kitchen_Blender,True,"['Power_Bank', 'First_Aid_Kit', 'Dining_Set', 'Kitchen_Blender', 'Organic_Banana']",30.2672,-97.7431
Grooming_Kit,Electronics,Store_K,Customer_32,101,188,146,0.86,Yes,11-09-2024,Manufacturer_2,Conditioner,True,"['Blood_Pressure_Monitor', 'Toothpaste', 'Fitness_Tracker']",42.3601,-71.0589
Pet_Shampoo,Groceries,Store_G,Customer_15,307,87,34,0.2,No,10-10-2024,Manufacturer_18,First_Aid_Kit,False,"['First_Aid_Kit', 'Scarf']",47.6062,-122.3321
Pain_Relief_Tablets,Pet Supplies,Store_J,Customer_83,306,29,127,-0.6,No,16-09-2024,Manufacturer_8,Pet_Shampoo,False,"['Mens_T_Shirt', 'USB_C_Charger', 'Fresh_Milk']",30.2672,-97.7431
Handbag,Groceries,Store_A,Customer_44,72,59,28,0.63,No,11-10-2024,Manufacturer_17,First_Aid_Kit,True,['Sneakers'],40.7128,-74.006
Eggs,Electronics,Store_F,Customer_57,26,126,244,0.19,Yes,25-09-2024,Manufacturer_11,Jacket,False,['Body_Lotion'],39.7392,-104.9903
Jeans,Pet Supplies,Store_O,Customer_99,238,129,284,0.82,Yes,01-10-2024,Manufacturer_3,Fitness_Tracker,True,"['Digital_Camera', 'Fitness_Tracker', 'Bluetooth_Speaker', 'Deodorant', 'Scarf']",44.9778,-93.265
Jeans,Personal Care,Store_C,Customer_52,118,184,51,0.9,No,20-10-2024,Manufacturer_11,Womens_Sandals,False,"['Wrist_Watch', 'Pain_Relief_Tablets', 'Cookware_Set', 'Mens_T_Shirt']",41.8781,-87.6298
Olive_Oil,Groceries,Store_T,Customer_59,462,13,129,0.03,No,27-08-2024,Manufacturer_15,Organic_Banana,False,"['Microwave_Oven', 'Toothpaste']",47.6062,-122.3321
USB_C_Charger,Health,Store_J,Customer_82,10,110,146,-0.11,No,27-09-2024,Manufacturer_20,Salt,False,"['Weight_Scale', 'Toothpaste', 'Leash']",30.2672,-97.7431
Handbag,Electronics,Store_T,Customer_35,454,190,244,0.84,No,29-08-2024,Manufacturer_20,Grooming_Kit,False,"['Toothpaste', 'Cookware_Set', 'Dining_Set', 'USB_C_Charger', 'Jeans']",47.6062,-122.3321
Chicken_Breast,Fashion,Store_A,Customer_80,500,158,104,-0.71,No,18-10-2024,Manufacturer_11,Deodorant,True,"['Pain_Relief_Tablets', 'Wireless_Headphones', 'Salt', 'Protein_Shake']",40.7128,-74.006
USB_C_Charger,Home Essentials,Store_C,Customer_12,445,160,30,0.6,Yes,21-09-2024,Manufacturer_7,Eggs,True,"['Pasta', 'Laptop', 'Pain_Relief_Tablets', 'Cookware_Set', 'Shampoo']",41.8781,-87.6298
Handbag,Pet Supplies,Store_H,Customer_94,40,33,157,0.23,Yes,15-09-2024,Manufacturer_17,Face_Wash,True,"['Power_Bank', 'Fitness_Tracker', 'LED_TV', 'LED_TV']",32.7157,-117.1611
Organic_Banana,Groceries,Store_T,Customer_54,416,152,35,-0.88,Yes,21-09-2024,Manufacturer_4,Iron,True,"['Sunscreen', 'Deodorant', 'Body_Lotion', 'Body_Lotion', 'Whole_Wheat_Bread']",47.6062,-122.3321
Rice,Health,Store_O,Customer_15,380,168,164,0.67,No,11-10-2024,Manufacturer_10,Organic_Banana,True,"['Scarf', 'Digital_Camera', 'Sunscreen', 'Face_Cream', 'Sneakers']",44.9778,-93.265
Jacket,Pet Supplies,Store_T,Customer_38,258,92,145,-0.81,Yes,26-09-2024,Manufacturer_13,Protein_Shake,False,"['Eggs', 'Chicken_Breast', 'Yoga_Mat', 'Dining_Set']",47.6062,-122.3321
USB_C_Charger,Health,Store_T,Customer_36,73,54,69,-0.05,No,23-10-2024,Manufacturer_16,First_Aid_Kit,True,"['Jacket', 'Weight_Scale', 'Microwave_Oven', 'Power_Bank', 'Olive_Oil']",47.6062,-122.3321
Jacket,Pet Supplies,Store_N,Customer_87,243,86,241,-0.68,Yes,01-09-2024,Manufacturer_13,Rice,True,"['Handbag', 'Handbag', 'Dog_Food', 'Organic_Banana']",38.9072,-77.0369
Perfume,Home Essentials,Store_T,Customer_80,401,165,62,-0.73,No,23-09-2024,Manufacturer_6,Scarf,False,"['Jacket', 'Cat_Food', 'Rice', 'Pet_Collar', 'Mens_T_Shirt']",47.6062,-122.3321
Pet_Shampoo,Personal Care,Store_D,Customer_57,465,56,82,-0.61,No,14-10-2024,Manufacturer_8,Eggs,False,"['Fridge', 'Vitamins', 'Perfume', 'Handbag']",29.7604,-95.3698
Womens_Dress,Personal Care,Store_S,Customer_39,371,199,101,0.92,Yes,19-09-2024,Manufacturer_8,Soap,False,"['Womens_Dress', 'Pet_Toys', 'First_Aid_Kit', 'Fridge']",32.7767,-96.797
Kitchen_Blender,Fashion,Store_S,Customer_64,400,52,268,0.49,No,29-08-2024,Manufacturer_11,Eggs,True,"['Gaming_Console', 'LED_TV']",32.7767,-96.797
Body_Lotion,Electronics,Store_D,Customer_9,353,15,49,-0.53,Yes,12-09-2024,Manufacturer_6,Face_Wash,True,"['Pet_Collar', 'Chicken_Breast', 'Jacket', 'Washing_Machine', 'Sunglasses']",29.7604,-95.3698
Sunglasses,Home Essentials,Store_K,Customer_94,382,75,177,-0.48,Yes,05-09-2024,Manufacturer_19,Fresh_Milk,False,"['Mens_T_Shirt', 'Shampoo', 'Pet_Bed']",42.3601,-71.0589
Scarf,Home Essentials,Store_F,Customer_17,388,56,166,0.22,Yes,02-10-2024,Manufacturer_13,Pet_Bed,True,"['Fridge', 'Organic_Banana', 'Kitchen_Blender', 'Fitness_Tracker']",39.7392,-104.9903
Health_Bar,Fashion,Store_E,Customer_90,356,143,45,-0.13,No,11-09-2024,Manufacturer_7,Pet_Carrier,True,"['Leash', 'Laptop', 'Bedding_Set', 'Whole_Wheat_Bread']",33.4484,-112.074
Bedding_Set,Electronics,Store_D,Customer_37,370,190,26,0.67,Yes,24-09-2024,Manufacturer_4,Kitchen_Blender,True,['Fridge'],29.7604,-95.3698
First_Aid_Kit,Groceries,Store_E,Customer_6,403,57,101,0.5,No,21-10-2024,Manufacturer_16,Rice,True,"['Soap', 'Yoga_Mat', 'Pain_Relief_Tablets']",33.4484,-112.074
Yoga_Mat,Personal Care,Store_R,Customer_57,458,11,131,0.49,Yes,13-10-2024,Manufacturer_1,Mens_T_Shirt,False,['Protein_Shake'],45.5122,-122.6587
Pet_Carrier,Health,Store_B,Customer_73,131,16,12,0.32,Yes,25-09-2024,Manufacturer_19,Scarf,True,['Jeans'],34.0522,-118.2437
Sneakers,Electronics,Store_K,Customer_93,449,161,204,-0.73,No,13-09-2024,Manufacturer_15,Jeans,True,"['Cat_Food', 'Soap']",42.3601,-71.0589
Power_Bank,Fashion,Store_B,Customer_79,46,126,132,-0.87,No,27-08-2024,Manufacturer_10,Toothpaste,True,"['Cookware_Set', 'Whole_Wheat_Bread']",34.0522,-118.2437
Whole_Wheat_Bread,Pet Supplies,Store_A,Customer_100,462,13,291,-0.45,No,15-09-2024,Manufacturer_8,First_Aid_Kit,False,"['Protein_Shake', 'Microwave_Oven', 'USB_C_Charger', 'Health_Bar']",40.7128,-74.006
Sunscreen,Electronics,Store_T,Customer_29,238,189,108,-0.08,No,20-09-2024,Manufacturer_13,Bluetooth_Speaker,True,['Jeans'],47.6062,-122.3321
Microwave_Oven,Pet Supplies,Store_S,Customer_82,440,54,39,-0.87,Yes,27-08-2024,Manufacturer_14,Dining_Set,False,['Cookware_Set'],32.7767,-96.797
Power_Bank,Pet Supplies,Store_N,Customer_36,412,176,166,-0.43,No,16-10-2024,Manufacturer_4,Pet_Bed,False,"['Health_Bar', 'Treats', 'Dining_Set', 'Sports_Bottle', 'Pasta']",38.9072,-77.0369
Bedding_Set,Groceries,Store_R,Customer_20,29,161,169,-0.38,Yes,26-09-2024,Manufacturer_20,Face_Wash,False,"['Sneakers', 'Scarf', 'Fresh_Milk', 'Dining_Set', 'LED_TV']",45.5122,-122.6587
Handbag,Personal Care,Store_H,Customer_93,333,62,22,0.82,No,16-09-2024,Manufacturer_17,Pet_Toys,True,"['LED_TV', 'Scarf', 'Cat_Food']",32.7157,-117.1611
Eggs,Personal Care,Store_S,Customer_75,471,138,241,0.63,Yes,25-09-2024,Manufacturer_4,Salt,False,"['Iron', 'Treats', 'Mobile_Phone']",32.7767,-96.797
Face_Cream,Personal Care,Store_I,Customer_15,21,61,63,-0.36,Yes,16-09-2024,Manufacturer_1,Sunglasses,False,['Sugar'],37.7749,-122.4194
Soap,Personal Care,Store_F,Customer_60,172,136,219,0.16,Yes,08-09-2024,Manufacturer_20,Womens_Dress,True,"['Dog_Food', 'Pet_Collar']",39.7392,-104.9903
Yoga_Mat,Pet Supplies,Store_Q,Customer_6,358,124,77,-0.68,Yes,31-08-2024,Manufacturer_10,Fitness_Tracker,True,"['Wrist_Watch', 'Dog_Food']",39.9526,-75.1652
Pet_Toys,Electronics,Store_F,Customer_29,19,115,208,0.24,No,27-09-2024,Manufacturer_17,Gaming_Console,True,"['Womens_Sandals', 'Smart_Watch', 'Laptop', 'Pasta']",39.7392,-104.9903
Vitamins,Groceries,Store_C,Customer_17,183,24,224,-0.34,No,08-09-2024,Manufacturer_2,Iron,True,"['Blood_Pressure_Monitor', 'USB_C_Charger', 'Sunglasses']",41.8781,-87.6298
Whole_Wheat_Bread,Groceries,Store_Q,Customer_52,25,170,124,-0.06,No,20-10-2024,Manufacturer_12,Handbag,True,"['Vacuum_Cleaner', 'Power_Bank', 'Fresh_Milk', 'Kitchen_Blender']",39.9526,-75.1652
Wireless_Headphones,Groceries,Store_M,Customer_11,212,119,209,0.1,Yes,11-09-2024,Manufacturer_9,Scarf,True,"['Treats', 'Mens_T_Shirt', 'Fridge', 'Whole_Wheat_Bread', 'Sunglasses']",36.1699,-115.1398
Dining_Set,Home Essentials,Store_P,Customer_89,354,196,158,-0.49,Yes,29-08-2024,Manufacturer_1,Microwave_Oven,True,"['Microwave_Oven', 'Jacket', 'Pet_Carrier']",35.2271,-80.8431
Womens_Dress,Health,Store_I,Customer_23,376,34,257,-0.25,Yes,02-09-2024,Manufacturer_8,Pet_Carrier,False,['Olive_Oil'],37.7749,-122.4194
Washing_Machine,Personal Care,Store_C,Customer_84,103,84,137,0.63,Yes,24-09-2024,Manufacturer_19,Protein_Shake,False,"['Leash', 'Microwave_Oven']",41.8781,-87.6298
Pasta,Electronics,Store_E,Customer_36,88,25,129,0.1,Yes,22-10-2024,Manufacturer_15,Mobile_Phone,True,"['Wrist_Watch', 'Fitness_Tracker', 'Sunscreen', 'Pet_Bed', 'First_Aid_Kit']",33.4484,-112.074
Vitamins,Fashion,Store_P,Customer_70,231,125,108,0.51,Yes,21-09-2024,Manufacturer_5,Sugar,False,['Blood_Pressure_Monitor'],35.2271,-80.8431
Gaming_Console,Pet Supplies,Store_E,Customer_32,237,52,32,0.42,No,27-08-2024,Manufacturer_20,Eggs,False,"['Olive_Oil', 'Pasta', 'Shampoo', 'Sugar', 'Sugar']",33.4484,-112.074
Vacuum_Cleaner,Health,Store_E,Customer_58,382,59,197,0.19,No,28-09-2024,Manufacturer_20,Pet_Bed,False,['Iron'],33.4484,-112.074
Fresh_Milk,Pet Supplies,Store_Q,Customer_85,135,194,29,-0.98,No,15-10-2024,Manufacturer_6,Womens_Dress,True,"['Digital_Camera', 'Perfume', 'Air_Purifier', 'Wireless_Headphones', 'Pain_Relief_Tablets']",39.9526,-75.1652
Yoga_Mat,Home Essentials,Store_H,Customer_20,116,150,289,0.32,Yes,02-10-2024,Manufacturer_2,Chicken_Breast,True,['Protein_Shake'],32.7157,-117.1611
Rice,Groceries,Store_H,Customer_95,239,161,157,0.1,Yes,17-09-2024,Manufacturer_17,Weight_Scale,True,"['LED_TV', 'Bluetooth_Speaker']",32.7157,-117.1611
Sports_Bottle,Groceries,Store_C,Customer_17,115,156,226,0.99,No,28-08-2024,Manufacturer_4,Jeans,True,"['Vacuum_Cleaner', 'Sunscreen', 'Mobile_Phone', 'Fresh_Milk']",41.8781,-87.6298
Vitamins,Fashion,Store_H,Customer_9,463,5,260,0.91,No,12-09-2024,Manufacturer_10,Kitchen_Blender,True,"['Fitness_Tracker', 'Pet_Shampoo', 'Dog_Food', 'Shampoo']",32.7157,-117.1611
Conditioner,Personal Care,Store_L,Customer_21,216,15,23,0.31,Yes,28-08-2024,Manufacturer_20,Fresh_Milk,True,['Sunscreen'],25.7617,-80.1918
Sports_Bottle,Health,Store_O,Customer_97,152,27,185,1.0,No,11-10-2024,Manufacturer_15,Deodorant,False,"['Scarf', 'Scarf', 'Pet_Carrier', 'Pasta', 'Laptop']",44.9778,-93.265
Protein_Shake,Personal Care,Store_R,Customer_59,321,19,181,0.8,Yes,16-10-2024,Manufacturer_2,Pain_Relief_Tablets,True,"['Gaming_Console', 'Scarf']",45.5122,-122.6587
Power_Bank,Electronics,Store_B,Customer_37,374,68,33,-0.01,Yes,10-09-2024,Manufacturer_20,Laptop,True,"['Sneakers', 'Pet_Collar', 'Deodorant', 'Fitness_Tracker']",34.0522,-118.2437
Protein_Shake,Electronics,Store_H,Customer_89,225,89,91,0.72,Yes,16-10-2024,Manufacturer_19,Handbag,False,"['Salt', 'Protein_Shake', 'Wrist_Watch']",32.7157,-117.1611
Chicken_Breast,Health,Store_Q,Customer_55,285,127,30,-0.14,No,04-09-2024,Manufacturer_5,Pain_Relief_Tablets,True,"['Grooming_Kit', 'Pain_Relief_Tablets', 'Mobile_Phone']",39.9526,-75.1652
Dining_Set,Groceries,Store_S,Customer_37,500,24,176,0.4,No,23-09-2024,Manufacturer_20,Bedding_Set,False,"['Grooming_Kit', 'Treats']",32.7767,-96.797
Sneakers,Groceries,Store_R,Customer_67,183,80,209,-0.78,No,19-09-2024,Manufacturer_3,Microwave_Oven,False,"['Wireless_Headphones', 'Sugar', 'Sugar', 'Grooming_Kit']",45.5122,-122.6587
Pet_Bed,Electronics,Store_B,Customer_42,291,90,289,0.99,Yes,15-10-2024,Manufacturer_10,Yoga_Mat,True,"['Handbag', 'Wrist_Watch', 'Power_Bank']",34.0522,-118.2437
Pet_Collar,Health,Store_N,Customer_48,186,127,256,0.76,No,05-10-2024,Manufacturer_4,Pet_Collar,True,"['Dining_Set', 'Womens_Dress']",38.9072,-77.0369
Health_Bar,Electronics,Store_P,Customer_9,308,182,154,0.67,No,13-09-2024,Manufacturer_13,Bluetooth_Speaker,True,"['Bluetooth_Speaker', 'Shampoo', 'Pet_Toys']",35.2271,-80.8431
Yoga_Mat,Personal Care,Store_C,Customer_83,355,166,87,-0.22,No,29-09-2024,Manufacturer_4,Mens_T_Shirt,True,"['Fitness_Tracker', 'Microwave_Oven', 'Womens_Dress', 'Bedding_Set']",41.8781,-87.6298
Soap,Home Essentials,Store_Q,Customer_23,483,120,247,-0.52,No,20-09-2024,Manufacturer_16,Jacket,True,"['Gaming_Console', 'Pet_Collar', 'Sports_Bottle', 'Shampoo']",39.9526,-75.1652
Laptop,Pet Supplies,Store_H,Customer_45,446,56,70,-0.56,Yes,13-10-2024,Manufacturer_16,First_Aid_Kit,False,"['Wrist_Watch', 'Wrist_Watch', 'Soap']",32.7157,-117.1611
Chicken_Breast,Health,Store_K,Customer_27,466,42,205,0.37,No,03-10-2024,Manufacturer_17,Salt,False,['Dining_Set'],42.3601,-71.0589
Blood_Pressure_Monitor,Home Essentials,Store_K,Customer_18,299,183,276,0.22,No,08-10-2024,Manufacturer_2,Mobile_Phone,True,['Fitness_Tracker'],42.3601,-71.0589
Scarf,Electronics,Store_F,Customer_83,18,27,53,-0.33,Yes,13-09-2024,Manufacturer_3,Yoga_Mat,False,['Grooming_Kit'],39.7392,-104.9903
